kod,komunikat,bon,płeć,wiek,tryb,rok,waznosc,Nastroj1,Nastroj2,indeks_przychylności,wynik_ogólny,nastroj_diff,Nastroj1_mapped,Nastroj1_komunikat_congruence,Nastroj1_3cat,Nastroj2_3cat,waznosc_3cat
OER01,0,1,1,19,1,1,4,3,3,4.0,4.0,0,1,0,0.0,0.0,1.0
EMJ05,0,1,1,20,1,1,1,3,3,4.0,2.375,0,1,0,0.0,0.0,2.0
MAP06,0,1,1,19,1,1,1,3,2,3.5,4.0625,-1,1,0,0.0,2.0,2.0
AGK04,0,1,1,20,1,1,3,4,4,4.0,3.625,0,2,1,1.0,1.0,0.0
PJZ05,0,1,1,19,1,1,3,4,4,4.0,3.875,0,2,1,1.0,1.0,0.0
MIJ06,0,1,1,19,1,1,3,3,4,4.0,3.5,1,1,0,0.0,1.0,0.0
KDM-4,0,1,1,20,1,1,1,1,1,3.5,2.4375,0,0,-1,2.0,2.0,2.0
ADA08,0,1,1,19,1,1,4,4,4,2.0,2.25,0,2,1,1.0,1.0,1.0
MMM11,0,1,1,20,1,1,5,3,3,3.0,2.5,0,1,0,0.0,0.0,1.0
XXX1,0,1,1,19,2,1,4,4,4,3.5,3.4375,0,2,1,1.0,1.0,1.0
XXX2,0,1,1,19,1,1,5,4,3,4.5,3.5625,-1,2,1,1.0,0.0,1.0
XXX3,0,1,1,19,1,1,4,3,4,1.5,3.1875,1,1,0,0.0,1.0,1.0
XXX4,0,1,1,19,1,1,4,3,3,2.5,2.6875,0,1,0,0.0,0.0,1.0
WEP03,0,1,1,20,2,1,4,4,4,4.0,3.875,0,2,1,1.0,1.0,1.0
XXX5,0,1,1,20,2,1,3,3,3,3.5,3.5625,0,1,0,0.0,0.0,0.0
XXX6,0,1,1,20,1,1,3,3,3,1.5,2.5625,0,1,0,0.0,0.0,0.0
XXX7,0,1,1,20,1,1,4,3,3,4.0,3.125,0,1,0,0.0,0.0,1.0
MKK01,0,1,1,26,2,1,4,1,2,5.0,4.875,1,0,-1,2.0,2.0,1.0
XXX8,0,1,1,23,2,1,5,4,4,1.0,1.75,0,2,1,1.0,1.0,1.0
AHR09,0,1,1,45,2,1,5,4,4,4.0,3.0,0,2,1,1.0,1.0,1.0
MJS12,0,1,1,21,2,1,3,3,4,4.0,3.625,1,1,0,0.0,1.0,0.0
XXX9,0,1,1,22,1,1,2,3,3,2.5,2.3125,0,1,0,0.0,0.0,2.0
XX10,0,1,1,18,1,1,5,3,2,4.0,3.5,-1,1,0,0.0,2.0,1.0
XX11,0,1,1,27,2,1,4,3,3,4.0,3.25,0,1,0,0.0,0.0,1.0
XX12,0,1,1,21,2,1,3,1,1,4.0,2.875,0,0,-1,2.0,2.0,0.0
DLV02,0,1,1,21,1,1,2,3,3,1.0,1.625,0,1,0,0.0,0.0,2.0
KDP08,0,1,1,21,1,1,1,2,2,2.0,2.75,0,0,-1,2.0,2.0,2.0
AIA4,0,1,2,20,1,1,5,2,2,3.5,3.6875,0,0,-1,2.0,2.0,1.0
AKT12,0,1,2,20,2,1,2,4,4,2.5,3.1875,0,2,1,1.0,1.0,2.0
XX14,0,1,2,20,1,1,3,4,3,3.5,3.3125,-1,2,1,1.0,0.0,0.0
XX15,0,1,2,19,1,1,3,3,3,3.0,2.5,0,1,0,0.0,0.0,0.0
MAG07,0,1,2,21,1,1,4,1,1,4.0,2.625,0,0,-1,2.0,2.0,1.0
